Current Time,Light Sensor Input,Sound Sensor Input,Start Time
2020-05-11 10:35:37.914998,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:35:39.940156,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:35:42.188951,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:35:44.302343,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:35:46.531606,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:35:48.669418,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:35:50.920312,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:35:53.032994,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:35:55.277236,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:35:55.376992,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:35:57.471092,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:35:59.715733,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:35:59.805662,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:36:01.831189,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:36:04.092138,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:36:04.230943,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:36:06.197694,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:36:08.442634,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:36:08.532733,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:36:10.539576,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:36:12.785113,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:36:14.884513,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:36:17.129007,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:36:17.231204,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:36:19.268126,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:36:21.533017,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:36:23.653213,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:36:25.897854,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:36:25.979915,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:36:27.995166,0,0,2020-05-11 10:31:23.070889
